,Open,High,Low,Vol.,Change %,buy_signal,sell_signal,hold_signal
0,20900.0,21120.0,20256.0,5.12,-0.0103,0.0,0.0,1.0
1,21050.0,21520.0,20802.0,2.77,0.0242,0.0,0.0,1.0
2,21550.0,21770.0,20351.0,1.88,-0.0396,0.0,0.0,1.0
3,20640.0,20982.0,20348.0,1.98,0.006,0.0,0.0,1.0
4,20500.0,21852.0,20500.0,3.77,0.0539,0.0,0.0,1.0
5,21638.0,22100.0,21054.0,3.31,-0.0062,0.0,0.0,1.0
6,21755.0,22112.0,21221.0,4.37,0.0133,0.0,0.0,1.0
7,22420.0,22499.0,20727.0,4.7,-0.0005,0.0,0.0,1.0
8,21960.0,23470.0,21950.0,5.88,0.0537,0.0,0.0,1.0
9,23300.0,23406.0,21811.0,4.0,-0.0183,0.0,0.0,1.0
10,22478.0,22639.0,22045.0,2.72,0.0009,0.0,0.0,1.0
11,22999.0,23356.0,22677.0,3.3,0.035,0.0,0.0,1.0
12,23638.0,23999.0,22682.0,3.56,-0.013,0.0,0.0,1.0
13,22800.0,23367.0,22501.0,3.26,-0.001,0.0,0.0,1.0
14,22950.0,23638.0,22743.0,4.61,0.0242,0.0,0.0,1.0
15,23010.0,24280.0,22975.0,2.46,0.025,0.0,0.0,1.0
16,24350.0,24890.0,24235.0,3.11,0.0237,0.0,0.0,1.0
17,24850.0,25416.0,23602.0,3.98,-0.0404,0.0,0.0,1.0
18,24195.0,24503.0,23406.0,3.93,-0.0054,0.0,0.0,1.0
19,24700.0,25536.0,24225.0,5.53,0.0716,0.0,0.0,1.0
20,24999.0,25042.0,24072.0,8.64,-0.0259,0.0,0.0,1.0
21,24755.0,25900.0,24720.0,3.18,0.0411,0.0,0.0,1.0
22,25635.0,27094.0,25227.0,3.82,0.056,0.0,0.0,1.0
23,27442.0,28324.0,26325.0,4.57,-0.0152,0.0,0.0,1.0
24,26692.0,27110.0,26263.0,4.6,0.0052,0.0,0.0,1.0
25,26450.0,27464.0,26450.0,2.69,0.018,0.0,0.0,1.0
26,27352.0,28359.0,27352.0,3.22,0.0227,0.0,0.0,1.0
27,28000.0,28850.0,27770.0,3.89,0.0219,0.0,0.0,1.0
28,28499.0,29483.0,27855.0,3.61,0.0227,0.0,0.0,1.0
29,29301.0,29777.0,28180.0,4.89,-0.0234,0.0,0.0,1.0
30,28412.0,28598.0,27363.0,2.94,-0.0301,0.0,0.0,1.0
31,27351.0,28156.0,27106.0,4.52,0.0027,0.0,0.0,1.0
32,27540.0,28476.0,26774.0,3.5,0.0078,0.0,0.0,1.0
33,27145.0,27393.0,26300.0,3.63,-0.05,0.0,0.0,1.0
34,27250.0,27650.0,26271.0,10.98,0.0075,0.0,0.0,1.0
35,26500.0,26647.0,25505.0,4.87,-0.0215,0.0,0.0,1.0
36,25800.0,26526.0,25501.0,4.7,-0.0214,0.0,0.0,1.0
37,25498.0,26361.0,24660.0,3.67,0.0133,0.0,0.0,1.0
38,25954.0,27128.0,25954.0,2.83,0.0255,0.0,0.0,1.0
39,27083.0,28006.0,26728.0,3.36,0.0365,0.0,0.0,1.0
40,27800.0,28174.0,26614.0,4.44,-0.0201,0.0,0.0,1.0
41,26766.0,27443.0,26360.0,3.02,-0.003,0.0,0.0,1.0
42,26980.0,27526.0,26657.0,2.49,0.0177,0.0,0.0,1.0
