,Open,High,Low,Vol.,Change %,buy_signal,sell_signal,hold_signal
0,3.96,3.97,3.79,4.93,-0.0228,0.0,0.0,1.0
1,3.84,3.86,3.81,1.87,-0.0052,0.0,0.0,1.0
2,3.85,3.9,3.84,1.47,0.0104,0.0,0.0,1.0
3,3.89,3.91,3.86,1.61,0.0026,0.0,0.0,1.0
4,3.9,3.91,3.82,2.11,-0.0026,0.0,0.0,1.0
5,3.85,3.85,3.77,1.75,-0.0129,0.0,0.0,1.0
6,3.82,3.88,3.8,1.03,0.0052,0.0,0.0,1.0
7,3.83,3.83,3.76,1.15,-0.013,0.0,0.0,1.0
8,3.77,3.77,3.58,2.8,-0.0211,0.0,0.0,1.0
9,3.76,3.81,3.73,6.974844290657438,0.0135,0.0,0.0,1.0
10,3.76,3.81,3.74,1.72,0.0,0.0,0.0,1.0
11,3.75,3.79,3.64,3.56,-0.0213,0.0,0.0,1.0
12,3.64,3.74,3.64,2.13,-0.0027,0.0,0.0,1.0
13,3.71,3.81,3.7,2.44,0.0191,0.0,0.0,1.0
14,3.81,3.93,3.75,7.18,0.0321,0.0,1.0,0.0
15,3.91,4.02,3.86,11.67,0.0285,0.0,0.0,1.0
16,4.0,4.0,3.83,4.35,-0.0151,0.0,0.0,1.0
17,3.87,3.9,3.73,3.73,-0.0281,0.0,0.0,1.0
18,3.85,3.87,3.76,1.75,0.0026,0.0,0.0,1.0
19,3.86,3.87,3.79,2.4,0.0026,0.0,0.0,1.0
20,3.85,3.88,3.8,2.65,0.0026,0.0,0.0,1.0
21,3.84,3.91,3.77,4.05,0.0026,0.0,0.0,1.0
22,3.78,3.82,3.74,5.15,-0.0182,0.0,0.0,1.0
23,3.8,3.8,3.72,3.48,-0.0053,0.0,0.0,1.0
24,3.76,3.83,3.75,2.04,0.0107,0.0,0.0,1.0
25,3.78,3.83,3.69,2.83,-0.0106,0.0,0.0,1.0
26,3.78,3.85,3.7,3.54,0.0107,0.0,0.0,1.0
27,3.85,3.85,3.77,2.28,0.0026,0.0,0.0,1.0
28,3.77,3.81,3.76,2.1,-0.0053,0.0,0.0,1.0
29,3.79,3.8,3.65,1.93,-0.0212,0.0,0.0,1.0
30,3.7,3.7,3.55,3.85,-0.0189,0.0,0.0,1.0
31,3.57,3.69,3.48,5.22,-0.011,0.0,0.0,1.0
32,3.69,3.74,3.6,1.75,0.0195,0.0,0.0,1.0
33,3.62,3.78,3.59,2.5,0.0137,0.0,0.0,1.0
34,3.76,3.76,3.68,2.34,0.0,0.0,0.0,1.0
35,3.69,3.73,3.68,1.25,-0.0027,0.0,0.0,1.0
36,3.71,3.76,3.67,3.43,0.0081,0.0,0.0,1.0
37,3.74,3.82,3.71,1.57,0.0054,0.0,0.0,1.0
