,Open,High,Low,Vol.,Change %,buy_signal,sell_signal,hold_signal
0,83.0,83.5,77.5,1.6583838383838385,-0.0482,0.0,0.0,1.0
1,78.5,81.7,77.25,1.6583838383838385,0.0253,0.0,0.0,1.0
2,81.25,83.8,80.5,1.11,-0.0049,0.0,0.0,1.0
3,80.0,82.65,79.0,1.6583838383838385,-0.0074,0.0,0.0,1.0
4,79.0,83.75,78.4,1.6583838383838385,0.0456,0.0,0.0,1.0
5,83.0,85.05,83.0,1.6583838383838385,0.0102,0.0,0.0,1.0
6,84.4,85.2,83.5,1.6583838383838385,0.0059,0.0,0.0,1.0
7,84.5,85.9,83.7,1.6583838383838385,0.0059,0.0,0.0,1.0
8,86.0,86.0,83.2,1.6583838383838385,-0.0129,0.0,0.0,1.0
9,84.3,85.5,82.6,1.6583838383838385,-0.013,0.0,0.0,1.0
10,82.1,85.25,82.1,1.6583838383838385,0.0228,0.0,0.0,1.0
11,86.0,88.45,85.6,1.6583838383838385,0.0376,0.0,0.0,1.0
12,89.0,90.0,83.9,1.6583838383838385,-0.0339,0.0,0.0,1.0
13,86.0,86.8,84.0,1.6583838383838385,0.0012,0.0,0.0,1.0
14,85.0,85.0,81.7,1.6583838383838385,-0.0351,0.0,0.0,1.0
15,84.5,84.5,78.7,1.6583838383838385,-0.0133,0.0,0.0,1.0
16,81.0,83.45,81.0,1.6583838383838385,0.0074,0.0,0.0,1.0
17,82.1,84.0,73.9,1.6583838383838385,-0.0366,0.0,0.0,1.0
18,78.3,82.45,77.7,1.6583838383838385,-0.0152,0.0,0.0,1.0
19,78.0,80.9,78.0,1.6583838383838385,0.0283,0.0,0.0,1.0
20,80.0,82.7,78.65,1.6583838383838385,-0.0063,0.0,0.0,1.0
21,79.5,81.0,77.5,1.6583838383838385,-0.0038,0.0,0.0,1.0
22,78.0,83.9,78.0,1.6583838383838385,0.0354,0.0,0.0,1.0
23,81.8,82.8,77.0,1.6583838383838385,0.0061,0.0,0.0,1.0
24,82.0,83.0,80.2,1.6583838383838385,-0.0218,0.0,0.0,1.0
25,80.5,82.5,80.2,1.6583838383838385,0.0161,0.0,0.0,1.0
26,82.0,82.9,80.8,1.6583838383838385,0.0061,0.0,0.0,1.0
27,82.5,84.3,82.5,1.6583838383838385,0.0182,0.0,0.0,1.0
28,82.0,87.25,82.0,1.6583838383838385,0.031,0.0,0.0,1.0
29,86.8,89.0,86.7,1.6583838383838385,0.0185,0.0,0.0,1.0
30,87.05,89.45,86.8,1.6583838383838385,-0.0057,0.0,0.0,1.0
31,87.0,88.6,86.0,1.6583838383838385,0.0091,0.0,0.0,1.0
32,88.45,88.95,86.5,1.6583838383838385,-0.0056,0.0,0.0,1.0
33,87.0,88.85,86.05,1.6583838383838385,0.0017,0.0,0.0,1.0
34,87.0,89.0,86.7,1.6583838383838385,0.0085,0.0,0.0,1.0
35,88.0,88.95,86.3,1.6583838383838385,-0.0292,0.0,0.0,1.0
36,85.2,87.3,82.1,1.6583838383838385,-0.0313,0.0,0.0,1.0
37,84.0,84.6,80.7,1.6583838383838385,-0.0209,0.0,0.0,1.0
38,80.0,86.0,79.0,1.6583838383838385,0.0385,0.0,0.0,1.0
39,85.15,86.75,84.6,1.6583838383838385,0.0129,0.0,0.0,1.0
40,86.5,88.1,85.15,1.6583838383838385,-0.011,0.0,0.0,1.0
