,Open,High,Low,Vol.,Change %,buy_signal,sell_signal,hold_signal
0,260.0,264.06,258.73,63.13,0.022,0.0,0.0,1.0
1,265.0,268.39,263.05,79.53,-0.0025,0.0,0.0,1.0
2,264.32,268.14,261.05,77.65,0.0014,0.0,0.0,1.0
3,263.21,270.6,262.34,78.93,0.025,0.0,0.0,1.0
4,271.99,272.57,268.87,71.81,0.0059,0.0,0.0,1.0
5,273.01,275.58,272.32,51.88,0.0129,0.0,0.0,1.0
6,275.99,276.29,267.19,91.92,-0.0226,0.0,0.0,1.0
7,269.28,270.99,265.2,63.09,-0.0115,0.0,0.0,1.0
8,265.5,266.9,263.75,38.67,-0.0045,0.0,0.0,1.0
9,264.0,266.44,258.55,81.66,0.0049,0.0,0.0,1.0
10,268.49,271.87,267.07,56.95,0.0218,0.0,0.0,1.0
11,272.3,272.8,268.27,63.1,-0.0033,0.0,0.0,1.0
12,270.99,275.07,267.56,79.1,0.0,0.0,0.0,1.0
13,270.35,272.46,266.21,58.73,-0.0144,0.0,0.0,1.0
14,266.12,272.81,264.19,59.27,0.0163,0.0,0.0,1.0
15,271.0,271.0,269.02,8.76,-0.0031,0.0,0.0,1.0
16,270.1,274.46,268.12,48.13,0.0118,0.0,0.0,1.0
17,272.12,272.75,269.42,64.19,-0.0066,0.0,0.0,1.0
18,273.6,276.48,270.65,79.72,-0.0044,0.0,0.0,1.0
19,268.0,272.49,266.43,74.89,-0.002,0.0,0.0,1.0
20,273.0,274.73,271.13,35.96,0.0126,0.0,0.0,1.0
21,271.89,280.0,271.6,71.57,0.0202,0.0,0.0,1.0
22,281.7,283.83,277.63,64.28,-0.0039,0.0,0.0,1.0
23,278.5,281.96,273.63,91.99,-0.0117,0.0,0.0,1.0
24,276.0,278.98,272.76,83.55,0.01,0.0,0.0,1.0
25,278.8,286.38,277.56,72.79,0.0299,0.0,1.0,0.0
26,285.24,288.0,281.0,55.16,-0.0124,0.0,0.0,1.0
27,283.84,286.38,282.3,47.37,0.0133,0.0,0.0,1.0
28,286.3,287.49,282.82,51.54,-0.0037,0.0,0.0,1.0
29,286.05,292.92,285.28,67.81,0.0274,0.0,0.0,1.0
30,293.06,293.88,288.61,53.92,-0.0014,0.0,0.0,1.0
31,292.35,293.25,279.6,110.29,-0.0307,1.0,0.0,0.0
32,284.04,285.79,278.24,74.13,-0.0145,0.0,0.0,1.0
33,279.0,286.31,278.03,84.25,0.0223,0.0,0.0,1.0
34,285.0,291.2,283.08,62.76,0.0111,0.0,0.0,1.0
35,287.56,288.3,282.11,70.76,-0.021,0.0,0.0,1.0
36,283.4,288.0,282.25,46.41,0.0113,0.0,0.0,1.0
37,286.5,287.03,283.85,35.22,0.003,0.0,0.0,1.0
38,288.63,292.75,288.32,56.07,0.0159,0.0,0.0,1.0
39,289.72,294.09,289.26,43.68,0.0071,0.0,0.0,1.0
40,294.86,295.72,291.5,38.81,-0.0002,0.0,0.0,1.0
41,294.0,294.42,290.26,47.0,-0.0076,0.0,0.0,1.0
